Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),Taylor Swift,10/26/2023,USUG12306691,240,100.2,"406,821,432","20,404","26,073,555",,"23,505,530","266,969","80,218","12,641,848","113,073,762","1,569,274,837",38,"337,262",20,27,"740,249",38,"18,715,607","6,762",,"1,551,811",,0
Si No Est�,Si No Est��s - Si,i��igo quin,9/22/2022,TCAGM2208561,241,100.1,"665,716,137","97,057","33,252,792",80,"358,206,246","2,896,698","2,900,087","216,927,444","2,653,383,273","862,779,648",33,"77,764",119,51,"27,583,086",60,"202,795","1,067","1,432,443","5,502,998",,0
Glimpse of Us,Glimpse of Us,Joji,6/10/2022,USWB12201789,242,99.8,"1,262,308,912","234,936","83,890,841",74,"66,246,839","2,067,331","865,354","1,031,153,514","8,988,453,878","4,898,615,770",97,"116,337",620,40,"2,380,981",45,"9,562,991","17,436","12,895,440","4,350,230",,0
Watermelon Sugar,Watermelon Sugar,Harry Styles,11/17/2019,USSM11912587,243,99.7,"2,708,151,499","298,135","159,003,869",82,"872,052,223","11,269,126","1,375,118","301,076,974","2,738,127,473","2,170,262,684",554,"647,363",914,557,"4,404,589",101,"133,633,509","253,839",,"9,612,968",,0
Coraz��n de Pi,Coraz��n de Piedra - Si,Xavi,3/23/2024,USA2P2414894,244,98.8,"172,164,034","5,517","48,983,734",82,"117,450,205","1,103,003",,,,"135,952,492",11,"1,879",,7,"2,124,457",16,"9,152,713","1,759","1,136,588","418,366",,0
Praise Jah In The Moonlight,Praise Jah In the Moonlight - Single,YG Marley,12/27/2023,CH7811111177,245,98.5,"298,853,393","50,137","43,508,958",70,"112,961,806","2,336,117",,"64,504,808","928,812,348","366,430,788",63,4,6,43,"5,691,935",43,"2,135,934","8,861",,,,1
WHERE SHE GOES,WHERE SHE GOES,Bad Bunny,5/18/2023,QM6P42334528,246,98.4,"717,849,037","98,44","37,797,217",72,"217,687,654","1,929,598","308,67","85,402,638","808,518,802","47,337,825",126,"57,673",125,35,"1,416,698",41,,,"4,037,512","2,076,698",,1
Yandel 150,Yandel 150,Yandel,12/20/2022,QMFMF2215173,247,98.1,"837,576,264","102,545","38,825,844",70,"472,335,529","1,511,715","632,917","43,022,167","631,781,362","443,395,467",60,"65,694",29,39,"5,582,630",63,"26,717,443","8,054",,"2,660,197",,1
THATS WHAT I WANT,MONTERO,Lil Nas X,9/17/2021,USSM12105732,248,98,"1,062,095,453","165,197","75,503,476",72,"194,928,107","3,281,325","1,174,669","331,324,816","3,501,946,982","3,618,055,498",156,"830,038","2,344",83,"2,949,606",46,"54,997,089","27,977","12,581,843","5,957,065",,1
Todo De Ti,Todo De Ti,Rauw Alejandro,5/20/2021,USSD12100202,249,98,"1,339,352,060","188,874","76,063,128",75,"873,449,363","6,108,611","3,247,015","488,004,183","4,445,597,088","1,866,730,745",208,"102,968",295,68,"4,468,373",79,"58,740,730","23,062",,"5,640,680",,1
Chemical,Chemical,Post Malone,4/14/2023,USUM72305205,250,97.6,"503,574,147","79,679","43,648,353",75,"90,349,145","902,237","20,078","8,878,995","134,469,226","476,594,485",94,"369,794",678,35,"564,291",45,"41,533,233","7,841","3,201,843","2,334,089",,1
See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),Wiz Khalifa,1/1/2015,USAT21703595,251,97.6,"1,891,920,348","159,571","73,641,738",78,"6,335,989,683","43,663,933","2,196,129","424,216,963","3,455,170,110","602,157,439",137,,5,8,"16,367",6,,,,"22,021,769",,0
Drip Too Hard (Lil Baby & Gunna),Drip Too Hard,Lil Baby,9/12/2018,USUG11801811,252,97.5,"1,486,929,795","266,128","52,476,635",76,"637,733,433","4,719,266","618,523","58,332,458","523,849,646","34,010,447",147,"52,91",581,48,"263,627",13,"296,071,712","214,953","221,209,258","4,911,610",,1
Shooting Star,Kep1going On,Kep1er,6/3/2024,KRA492400678,253,97.3,"1,534,062",193,"3,187,862",,"28,023,956","185,464",,,,,5,45,,,,18,669,2,,"8,916",,0
Uptown Funk,Full Circle: The Live Anthology,Mark Ronson,11/20/2011,GBARL1401524,254,97.1,"1,993,030,264","256,764","149,909,699",77,"5,644,117,304","24,960,395","274,381","98,429,039","1,268,235,679","1,997,821,697",507,"160,982",366,308,"2,956,482",137,"994,708,599","2,280,901",,"23,508,115",,1
Dog's Plan,Thoughts Feelings,David Jackson,3/2/2023,USZXT2350766,255,97,,44,"1,243",3,"1,131,058,312","2,367,298",,,,,,2,,,,,,,,,,0
love nwantiti (ah ah ah),CKay The First,CKay,8/30/2019,QMEU31910213,256,96.9,"853,451,422","172,458","43,607,688",71,"1,132,006,963","25,943,716","12,330,900","1,768,913,633","23,933,379,729","35,766,668",77,"189,84","2,726",51,"1,474,677",5,"31,447,967","31,569",,"3,489,217",,1
Mi Gente,Mi Gente,J Balvin,6/30/2017,FR22F1701790,257,96.4,"1,478,442,472","189,504","45,240,294",69,"3,859,031,931","22,147,063","163,477","67,021,310","1,018,060,369","398,243,753",291,"45,875",,98,"937,524",94,"334,219,832","312,657",,"19,858,741",,0
Late Night Talking,Harry's House,Harry Styles,5/20/2022,USSM12200610,258,96.4,"959,639,297","108,806","62,563,751",76,"151,113,156","2,809,492","101,923","64,491,271","580,526,441","3,350,044,035",153,"837,037","2,29",96,"9,426,291",50,"68,783,337","10,636",,"4,053,289",,0
Miss You,Miss You,Oliver Tree,8/5/2022,USAT22211992,261,96.2,"631,378,937","165,883","38,563,849",51,"32,628,348","615,24","1,905,732","363,515,584","5,776,425,361","13,558,530",75,"152,103",1,49,"893,762",19,,,"16,382,616","7,602,822",,1
girls like me don't cry,Girls Like Me Don't Cry,th��,10/6/2022,QZLBC2200766,260,96.2,"69,931,412","13,22","8,876,286",61,"63,786,141","759,332","9,009,769","496,871,104","6,778,569,349","147,879",4,"4,18",29,,,15,"71,269",228,,"195,627",,0
Yummy Fruits and Vegetables,Yummy Fruits and Vegetables,D Billions,10/20/2020,AEA0D2036458,259,96.2,"2,300,838",543,"19,016",35,"3,060,919,074","6,319,360","1,69","50,237","4,527,607",,,,,,,,,,,"16,965",,0
Dakiti,Dakiti,Bad Bunny,1/1/2020,QMFME2004132,262,96.1,"1,977,947,460","245,685","56,430,031",72,"1,861,597,184","10,999,677","21,703","1,119,576","21,573,356","724,908,300",265,"202,804",241,97,"3,921,489",72,"152,205,131","46,748",,"6,091,496",,1
Starboy,Starboy,The Weeknd,9/22/2016,USUG11600976,265,95.7,"3,291,262,413","366,133","98,022,646",84,"2,829,990,867","14,968,547","262,78","52,707,882","375,498,232","218,584,786",341,"68,441",148,118,"875,683",67,"331,295,154","418,888","23,612,071","15,648,166",,1
Sorry,Sorry,Justin Bieber,10/23/2015,USUM71516760,264,95.7,"2,089,476,497","179,545","89,286,647",78,"4,467,507,940","22,464,625","2,463,600","48,687,438","376,376,728","1,959,373,484",401,"237,066",402,161,"1,631,997",85,"420,093,148","519,614","475,01","9,657,077",,0
Calling My Phone,Calling My Phone,Lil Tjay,2/12/2021,USSM12100388,263,95.7,"777,064,903","213,153","29,437,172",71,"482,028,631","5,431,785","1,378,861","181,697,356","1,411,545,704","326,289,844",118,"147,12",117,33,"263,058",33,"105,932,632","53,956","69,864,802","4,012,749",,1
Pink Venom,Pink Venom,BLACKPINK,8/19/2022,KRA402200017,266,95.6,"736,469,450","48,251","22,817,940",68,"868,589,823","16,834,955","1,833,169","587,311,863","5,828,265,172","3,169,887,749",43,"47,08",406,20,"202,141",40,"6,401,599","10,275",,"1,547,563",,0
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401040,267,95,"250,430,303","7,079","134,357,870",84,"16,747,466","251,549",148,"52,156,902","411,722,900","45,283,900",72,"6,243",2,37,"8,927,842",76,"5,771,611","11,92",,"188,022",,1
death bed (coffee for your head),"Some Boring, Love Stories, Pt. 2",Powfu,2/9/2019,USSM12000925,268,94.8,"1,656,385,770","283,938","62,191,957",74,"1,135,382,823","15,066,754","7,578,918","610,598,789","5,007,036,875","348,834,936",219,"200,884",305,119,"6,994,461",29,"214,867,165","150,801",,"10,905,647",,0
Too Many Nights (feat. Don Toliver & with Future),HEROES & VILLAINS,Metro Boomin,12/2/2022,USUG12208784,269,94.5,"682,837,690","155,771","28,629,209",80,"191,823,612","1,853,827","41,044","23,532,424","185,584,934","201,674,659",56,"2,067",48,4,"5,523",12,"2,323,771","3,396","18,237,169","3,246,804",,1
MELTDOWN (feat. Drake),MELTDOWN (feat. Drake),Travis Scott,7/27/2023,USSM12305021,270,94.3,"347,647,880","106,908","29,964,622",74,"30,685,665","405,87","19,1","6,796,886","53,065,653","174,680,696",57,"53,527",13,23,"327,684",49,"12,478,966","3,216","9,173,465","861,189",,1
California Gurls,Girl Power 2023,Katy Perry,9/19/2023,USCA21001182,271,94.2,,,,,"4,534,591","47,967",,,,,,"69,675",,,,,"316,633,718","283,271",,,,0
Moscow Mule,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214875,272,94.1,"1,108,031,580","121,256","44,739,826",77,"765,780,154","4,700,638","222,1","106,783,326","940,630,746","719,730,500",104,"74,052",113,30,"7,198,424",58,"41,077,827","11,906","9,615,729","1,644,044",,1
Something Just Like This,Something Just Like This,The Chainsmokers,2/22/2017,USQX91700278,273,94,"2,596,644,721","278,237","128,709,855",82,"2,822,804,239","15,242,846","350,848","80,813,727","631,258,708","277,516,825",315,"409,911",,420,"1,634,441",108,"588,568,899","197,928",,"16,040,973",,0
7 rings,7 rings,Ariana Grande,1/18/2019,USUM71900110,274,93.9,"2,262,490,403","179,865","89,518,199",77,"1,903,198,886","22,206,277","3,040,090","282,688,098","2,620,954,252","2,185,559,044",220,"176,589",945,87,"1,044,537",76,"301,142,482","409,686",,"7,983,512",,1
Moonlight,Moonlight,Kali Uchis,2/24/2023,USUM72219486,275,93.1,"701,558,859","110,539","46,729,655",74,"209,195,939","2,284,142","594,413","173,483,893","1,114,531,877","31,989,285",67,"15,726",126,43,"1,632,541",44,"3,448,723","9,386","8,993,848","3,204,314",,0
Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),Jawsh 685,6/11/2020,USSM12003798,276,93.1,"1,118,038,333","142,905","27,025,973",67,"481,447,573","3,636,839","10,104,238","420,225,179","4,530,095,073",,198,"394,564",200,209,"2,246,210",10,,,,"11,067,994",,1
Bidi Bidi Bom Bom (Remasterizado 2024/30th Anniversary),Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,3/22/2024,USUM72402910,277,93,"58,157,068",30,"171,325",,,,,,,,1,,,,,,"95,804,398","106,6",,,,0
God's Plan,Diplomatic Immunity,Drake,1/20/2018,USCM51800004,278,92.9,"2,529,948,475","313,741","79,266,167",77,"2,040,639,375","19,912,225","640,874","70,576,617","634,177,218","254,153,311",226,"14,465",442,103,"898,454",76,"527,043,451","707,727",,"9,512,236",,1
Sunroof,Sunroof,Nicky Youre,11/26/2021,QM24S2107064,279,92.3,"879,708,559","44,652","23,104,189",12,"74,610,328","807,333","11,172,130","1,672,193,890","22,086,963,233",,2,,"1,073",1,"11,899",,,,"6,305,169",,,0
La V��c,La V��c,Xavi,8/19/2023,USA2P2339944,280,92,"521,116,293","24,734","22,828,160",81,"427,625,497","2,560,068","33,444","11,882,123","107,781,205","1,392,579,416",18,"3,852",82,20,"14,503,583",22,"10,154,861","13,336",,"988,007",,1
MY EYES,UTOPIA,Travis Scott,7/28/2023,USSM12305007,281,91.9,"403,132,906","103,255","13,549,357",78,"42,319,491","564,712","8,436","16,565,594","139,973,656","2,15",37,417,,12,"403,386",6,"517,355","3,385","10,105,167","1,911,147",,1
WORK,GOLDEN HOUR : Part.1,ATEEZ,5/31/2024,KRD442400011,282,91.7,"10,135,326",678,"14,542,753",31,"29,271,837","586,888",,,,"30,784",13,158,,7,"18,929",41,"102,486",119,566,"25,958",,0
Despacito - Remix,Despacito Feat. Justin Bieber (Remix),Luis Fonsi,4/17/2017,USUM71703825,284,91.5,"1,713,294,983","134,7","39,604,784",65,"2,920,155,266","17,308,189","1,323,640","61,011,622","607,999,568","380,296,279",268,598,57,91,"820,925",27,"332,562,946","1,547,528",,"7,805,645",,0
Ghost,Justice,Justin Bieber,3/19/2021,USUM72102635,283,91.5,"1,586,830,204","151,923","73,574,395",80,"476,319,277","4,622,504","797,409","122,390,348","1,180,485,094","2,976,186,938",119,"844,492","3,18",114,"303,462",49,"129,493,114","54,497",,"4,413,143",,0
Dior,Meet The Woo,Pop Smoke,7/26/2019,USUM71914275,285,91.4,"1,070,422,470","294,539","47,391,658",72,"909,072,115","7,522,969","1,447,194","119,978,916","1,077,344,517","3,659,504",132,"82,158",53,38,"316,666",11,"55,282,282","69,945","103,490,551","4,711,998",,1
New Baby Shark,Pinkfong & Baby Shark's Space Adventure Songs,Pinkfong,9/30/2022,QMDA62210237,286,91.2,"720,822,868",13,164,17,,,,,,,,,,,,,"86,397,101","2,234,762",,,,0
Breakeven,Breakeven (Official 4K Video),The Script,4/25/2024,GB1102400418,287,91.1,"858,979,483",1,14,,,,,,,,,,,,,,,,,,,0
Una Noche en Medell�,Una Noche en Medell�,Cris Mj,1/21/2022,QM4TW2218961,288,90.7,"839,405,565","107,431","27,444,811",75,"662,287,768","4,695,932","3,874,773","422,978,919","4,817,726,878","438,066,241",41,"29,848",601,19,"1,780,823",46,"8,328,637","7,361",,"2,351,019",,1
SAD!,SAD!,XXXTENTACION,3/2/2018,USUG11800208,289,90.5,"2,218,531,106","263,801","60,437,070",75,"1,800,863,873","26,301,389","1,295,895","58,018,849","435,340,082","178,579,824",77,"21,34",107,45,"409,497",17,"187,658,592","508,457","79,154,715","3,798,652",,1
Primera Cita,La Primera Cita - Single,Carin Leon,4/20/2023,QZQMB2104890,290,90.5,"598,006,591","35,842","34,735,524",80,"415,255,950","1,480,134","916,093","96,228,889","1,108,602,382","384,774,756",32,"26,18",172,25,"9,487,462",25,"26,478,187","16,2","1,434,610","2,336,296",,0
Efecto,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214884,292,90.1,"1,293,773,697","115,332","51,081,689",77,"501,908,214","2,730,759","2,482,560","549,037,519","6,046,489,956","179,322,656",50,"33,285",48,16,"2,258,927",51,"43,667,676","13,112",,"1,927,360",,1
Dame Tu Cosita,Dame Tu Cosita,El Chombo,4/23/2018,TCADP1859309,291,90.1,,273,"54,198",,"5,004,189,392","20,218,394",,,,"229,315,984",,,,,,,,,,,,0
B��n����os Que N��o T��m Fim (Co,B��n����os Que N��o T��m Fim (Co,Isadora Pompeo,11/9/2023,BRSME2301957,293,89.6,"95,536,146","8,9","9,760,374",,"143,810,663","1,507,763","1,800,000","44,077,311","711,024,077","890,790,802",16,88,,51,"7,385,831",7,,,,"229,561",,0
Slow It Down,Slow It Down,Benson Boone,3/22/2024,USWB12400913,294,89.4,"202,667,139","11,945","116,623,933",85,"25,188,125","291,189",,"349,4","3,500,000","126,501,922",56,"36,922",326,37,"6,074,638",74,"16,853,510","3,223","442,051","518,777",,0
Yonaguni,Yonaguni,Bad Bunny,6/4/2021,QM6P42169803,295,88.6,"1,398,634,184","177,082","44,848,091",71,"1,084,871,745","7,894,095","884,793","298,126,879","2,877,719,483","314,632,224",145,"54,669",145,40,"381,403",48,"62,939,872","19,535",,"2,211,960",,1
Heathens,Heathens,Twenty One Pilots,6/16/2016,USAT21601930,296,88.6,"1,777,196,966","241,108","65,091,468",78,"2,624,180,055","21,763,865","4,715,288","113,594,559","1,024,805,500","479,301,512",125,"153,475",322,108,"534,238",31,"513,952,113","630,803",,"14,696,531",,0
Whoopty,Whoopty,CJ,8/20/2020,USA2P2031043,297,88.6,"775,664,145","213,464","28,998,615",61,"810,607,861","8,889,460","2,403,279","506,491,179","4,864,435,271","144,018,344",158,"1,644",533,31,"74,337",15,"60,410,875","41,096","59,294,063","6,422,051",,1
Super Shy,NewJeans 'Super Shy',NewJeans,7/7/2023,USA2P2330068,298,88.4,"547,471,596","48,103","22,977,059",77,"202,977,396","2,705,714","1,201,620","210,186,679","1,998,080,214","776,229,988",56,"23,381",258,22,"671,053",58,"1,428,951","6,871","2,172,977","528,849",,0
Happier,Happier - Single,Marshmello,8/16/2018,USUG11801651,299,87.9,"2,143,821,605","220,298","53,040,597",16,"1,512,765,689","18,732,541","1,228,334","96,907,387","809,336,882","2,340,278,160",209,"390,418",293,444,"639,996",73,"375,500,033","584,098",,"10,193,237",,0
HARLEY QUINN,HARLEY QUINN - Single,Fuerza Regida,10/18/2023,QZ9QQ2300781,301,87.7,"462,284,590","31,617","36,745,154",84,"110,545,167","325,395","911,1","169,601,790","1,947,539,058","184,602,581",41,"13,786",721,46,"7,896,597",39,"14,745,087","13,732","233,125","1,075,943",,1
Baby Don't Hurt Me,Baby Don't Hurt Me - Single,David Guetta,4/7/2023,UKWLG2300016,300,87.7,"509,231,024","69,486","142,546,135",79,"40,223,001","328,421",,42,312,"298,775,920",145,"396,88",425,121,"3,802,321",91,"29,557,806","1,437","1,308,074","3,375,037",,0
Butter,Butter,BTS,5/21/2021,QM6MZ2156864,302,87.5,"1,257,974,135","90,16","40,533,320",70,"1,175,755,478","27,744,989","2,098,050","1,059,257,365","8,120,632,702","3,244,619,218",221,"181,961",545,43,"1,426,798",68,"23,569,614","50,52",,"4,173,408",,0
Cinderella,WE DON'T TRUST YOU,Future,3/22/2024,USSM12402037,304,87.2,"124,945,674","21,581","41,881,780",,"11,346,227","139,956",,,,"421,455",24,298,,14,"291,31",4,"4,388,108","1,644","3,756,755","369,853",,1
Calma - Remix,Calma (Remix),Pedro Cap�,10/5/2018,USSD11800343,303,87.2,"1,153,753,974","118,846","37,335,160",67,"2,890,512,374","13,572,964","1,847,640","11,391,899","124,640,416","374,564,231",152,"57,934",7,77,"859,903",2,"168,274,012","88,107",,"14,113,990",,0
"CAN'T STOP THE FEELING! (Original Song From Dreamworks Animation's ""Trolls"")","CAN'T STOP THE FEELING! (Original Song From Dreamworks Animation's ""Trolls"")",Justin Timberlake,5/6/2016,USRC11600876,305,87.1,"1,733,302,434","191,065","88,781,556",72,"2,322,229,374","9,042,088","2,563,738","26,503,434","153,590,873","319,751,277",459,"364,043",576,482,"2,062,925",116,"605,593,706","1,206,969",,"15,828,266",,0
Say So,Hot Pink,Doja Cat,11/7/2019,USRC11903454,306,87,"1,199,270,601","161,574","48,493,190",69,"879,051,516","10,069,968","8,992,493","687,678,447","5,494,376,938","745,421,859",295,"1,309",531,180,"1,309,139",72,"110,184,400","176,348",,"10,741,166",,1
Ransom,Ransom,Lil Tecca,5/22/2019,QZ85M1940160,307,86.8,"1,355,971,796","198,992","52,412,236",77,"749,040,183","8,156,272","501,905","79,556,873","532,109,309","51,588,391",99,"26,259",154,32,"958,518",25,"88,012,413","229,716","162,569,561","2,972,685",,1
Romantic Homicide,Romantic Homicide,d4vd,7/20/2022,QZMEM2232831,308,86.8,"1,136,504,636","152,157","60,605,828",81,"154,143,867","2,307,573","515,601","215,294,962","1,306,972,284","89,389,771",65,"8,306",43,25,"426,502",15,"8,674,577","16,784","30,568,973","1,892,741",,0
Pink Skies,Pink Skies,Zach Bryan,5/24/2024,USWB12401947,309,86.7,"60,240,739","4,611","98,570,633",84,"3,322,959","65,84",,"107,1","843,6","235,974,273",82,734,1,26,"5,164,376",79,"5,006,041","2,349","521,223","156,886",,0
Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,10/21/2016,GBAHS1600363,310,86.6,"1,528,107,667","170,648","55,710,071",73,"3,187,869,227","16,180,445","2,416,274","61,034,077","595,697,842","1,722,812,433",188,"174,095",83,151,"643,408",38,"231,249,781","177,271","35,600,592","23,696,980",,1
Danza Kuduro - Cover,A collection of Western music that will get you excited,MUSIC LAB JPN,11/15/2023,TCJPX2396779,355,86.6,"1,627,429,837",12,163,,,,,,,,,,,,,,,,,,,1
Cool,JnD Mix,,5/25/2024,QZNWQ2410638,311,86.5,,,,,,,,,,,,,,,,,,,,"8,624,577",,0
Rich Men North of Richmond,Rich Men North of Richmond - Single,Oliver Anthony Music,8/11/2023,QZPLS2305267,312,86.5,"214,598,468","66,613","6,363,839",74,"145,094,088","2,568,642","8,397","1,367,633","35,469,076","733,344,471",21,"5,633",,2,"164,805",12,"93,004,856","63,249",,"736,604",,1
BESO,RR,ROSAL�,3/24/2023,USSM12301258,313,86.3,"647,201,484","81,393","46,208,549",74,"186,060,248","1,524,559","946,38","131,649,631","1,792,090,770","28,857,204",117,"106,591",277,80,"4,935,799",65,"20,360,773","4,829","113,549","1,589,528",,0
MTG QUEM N��O QUER SO,MTG QUEM N��O QUER SOU EU - Si,DJ TOPO,5/10/2024,BXIV82456543,315,86.1,"51,198,446","3,022","40,425,173",80,"14,990,394","244,589","245,3",,,,8,48,,29,"9,552,072",20,,,,"128,88",,0
Que Vuelvas,Que Vuelvas - Single,Carin Leon,12/9/2022,QZWT32210000,314,86.1,"684,853,927","42,893","25,716,699",73,"547,937,715","1,638,787","1,100,030","91,969,060","1,162,186,778","4,235,395",45,"14,16",358,20,"2,332,617",18,"100,368,438","17,421",,"1,654,594",,1
Pretty Green Eyes (Sunset Ibiza Mix),Pretty Green Eyes (Sunset Ibiza Mix),KETTAMA,6/14/2024,CBEFB2400006,316,85.9,,5,"3,277,306",,,,,,,,1,2,,1,"87,002",10,,,553,,,0
Just Wanna Rock,Just Wanna Rock,Lil Uzi Vert,10/17/2022,USAT22219211,318,85.8,"665,519,026","152,193","67,322,941",68,"187,947,945","2,379,515","1,016,531","606,205,784","5,516,142,056","169,512,700",73,"4,066","5,729",20,"707,505",93,"30,928,677","53,53",,"3,245,670",,1
Mood Swings (feat. Lil Tjay),Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/2020,USUM72013632,317,85.8,"785,016,247","210,669","32,702,397",70,"654,629,596","5,578,060","1,826,673","141,952,709","976,662,212","56,134,858",100,41,25,8,"33,088",4,"140,629,473","71,183","73,950,933","3,516,050",,1
Fuck Love (feat. Trippie Redd),17,XXXTENTACION,8/25/2017,USUYG1156898,319,85.6,"1,615,274,494","203,617","35,375,009",79,"515,463,883","6,471,385","59,9","19,736,442","100,843,174","4,528,014",37,"1,088",,14,"176,966",5,"106,473,506","116,371","319,835,943","2,026,025",,1
Rich Flex,Her Loss,Drake,11/4/2022,USUG12208598,320,85.5,"812,274,757","185,579","57,165,405",73,"86,053,276","651,228","317,033","223,409,952","1,834,709,832","41,553,113",116,644,128,27,"1,296,204",54,"61,423,121","33,488",,"2,300,268",,1
Standing Next to You,GOLDEN,Jung Kook,11/3/2023,USA2P2348391,321,85.5,"675,865,902","23,181","58,344,509",85,"130,563,278","4,183,405","308,567","111,187,858","628,043,802","2,554,205,866",37,"62,294",25,49,"6,851,022",24,"3,073,921","1,442",,"1,220,942",,0
Congratulations,Congratulations,Post Malone,11/4/2016,USUM71614484,322,85.3,"1,984,802,459","246,374","81,736,432",75,"1,790,918,527","11,063,672","955,053","99,916,455","811,673,866","172,345,162",143,"32,009",57,41,"337,255",26,"389,602,011","364,648","155,990,695","5,233,589",,1
Do It To It,Do It To It,ACRAZE,8/20/2021,QZFPL2100100,324,85.2,"805,019,111","238,887","94,531,613",73,"117,678,524","1,540,284","2,600,179","673,283,810","10,369,065,597","116,322,631",192,"217,739","2,822",105,"1,784,254",40,"51,038,784","9,188",,"9,653,748",,0
Tusa,Tusa,KAROL G,11/7/2019,USUM71921183,323,85.2,"1,497,511,486","157,185","59,187,880",68,"1,816,772,749","12,498,062","1,636,079","39,086,388","414,336,041","458,694,827",232,"150,99",111,256,"1,274,272",83,"104,611,041","127,399",,"7,663,807",,0
For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/2020,USUM72013355,325,84.8,"1,119,350,842","272,485","46,626,350",71,"767,399,825","6,283,245","1,312,576","203,661,245","1,505,078,331","68,109,096",206,"243,703",234,33,"158,712",24,"218,042,360","64,927",,"4,546,156",,1
Good Good,Good Good,USHER,8/4/2023,QZS7J2331813,326,84.7,"53,825,007","14,742","9,204,769",59,"83,224,436","607,267","88,131","6,358,930","89,022,964","250,252,884",22,"343,553",33,7,"543,853",34,"58,537,921","22,294","2,154,788","1,896,814",,1
Austin,Austin - Single,Dasha,11/17/2023,QZTB92360479,327,84.6,"273,023,490","17,9","169,190,514",87,"28,916,868","303,426","744,6","187,163,600","2,850,135,008","448,423,212",99,"83,189",449,48,"1,283,979",130,"22,107,065","4,925","337,191","1,521,087",,1
Search & Rescue,Search & Rescue,Drake,4/7/2023,USUG12301601,329,84.6,"337,858,357","96,709","21,646,810",69,"40,938,953","336,819","106,645","21,329,637","192,701,225","235,007,162",89,"119,741",162,15,"535,329",13,"44,542,627","18,653","14,784,764","1,383,076",,1
TULUM,TULUM,Peso Pluma,6/28/2023,QM7282325573,328,84.6,"390,182,196","36,912","13,688,250",74,"253,468,644","1,103,093","1,096,644","84,875,226","1,391,833,232","51,539,597",44,"20,963",71,16,"2,197,720",38,"23,438,854","7,268","2,169,379","964,306",,1
Shivers,#NAME?,Ed Sheeran,1/1/2020,GBAHS2100671,330,84.4,"1,568,058,093","188,855","77,441,110",77,"683,237,554","4,641,763","389,848","88,427,778","1,292,107,474","4,334,606,324",263,"925,333","1,773",222,"4,658,778",112,"290,859,819","66,708",,"10,179,048",,0
Coup du marteau,Coup du marteau,Tam Sir,12/8/2023,DGA0Q2357844,331,84.3,"24,933,240","4,241","2,378,348",,"79,219,504","463,646","1,800,000","44,679,343","687,729,852","641,603,777",10,"2,264",,6,"165,572",1,,,,"1,245,247",,0
Adderall (Corvette Corvette),Adderall (Corvette Corvette),Popp Hunna,10/14/2020,USA2P2036916,332,84.1,"90,383,224","24,868","4,716,437",45,"29,836,991","627,377","16,892,400","462,872,272","4,082,175,492","1,067",20,470,423,6,"22,115",3,"6,283,417","26,512","10,556,085","759,001",,1
Full Senyum Sayang,Full Senyum Sayang,Evan Loss,4/28/2022,SGB502213458,333,84,"18,296,870","1,967","400,655",,"108,892,433","699,306","9,893,499","340,731,924","6,334,463,728","15,197",1,295,,,,,,,,"24,326",,0
Sunroof,Sunroof,Nicky Youre,12/3/2021,USQX92202129,334,83.8,"890,752,779","104,69","38,444,734",79,"169,046,580","1,678,946",621,"47,472","5,807,175","2,854,434,834",149,"849,471",491,65,"1,743,336",9,"110,963,977","82,293","771,581","2,488,830",,0
Watching Yourself Being Born,Neuroscape,Blush Response,4/4/2023,QZFZ72309552,335,83.7,,13,191,,"918,283,411","1,480,549",,,,,,3,,,,,,,,,,0
Los del Espacio,Los del Espacio - Single,LIT killah,6/1/2023,USWL12300725,336,83.3,"373,898,429","53,671","24,287,193",72,"314,467,618","1,775,081","782,114","148,537,760","1,715,842,070","670,200,525",42,"29,417",3,27,"645,947",28,"79,804",197,,"776,352",,0
Taste (feat. Offset),Taste (feat. Offset),Tyga,5/16/2018,USUYG1198481,338,83.1,"1,358,105,253","217,189","31,143,734",69,"1,875,005,008","10,236,903","3,833,884","145,706,030","1,981,780,200","526,087,000",67,"46,534",142,34,"183,823",33,"476,875,275","185,157",,"7,997,160",,1
